文字,编码,IDS
𮴷,gxwy,⿰王維
𮴸,gawi,⿰王蔡
𮴹,gaui,⿰王𬞕
𮴺,gyny,⿰王嬴
𮴻,rcyr,⿺瓜白
𮴼,fmun,⿰南瓦
𮴽,lnv,⿺𠃊田
𮴾,lfiy,⿰田未
𮴿,lqyg,⿰田鸟
𮵀,lwxf,⿰田华
𮵁,lwxf,⿱田华
𮵂,lqtg,⿱田狂
𮵃,lybt,⿰田敦
𮵄,rwyn,⿰白今
𮵅,hyqy,⿰目义
𮵆,hfnh,⿰目韦
𮵇,hgji,⿰目東
𮵈,hpws,⿰目罙
𮵉,dqyy,⿰石久
𮵊,dfnh,⿰石韦
𮵋,dtah,⿰石升
𮵌,dbnn,⿰石孔
𮵍,dtdg,⿰石舌
𮵎,dfff,⿱石𪢴
𮵏,dgmf,⿰石再
𮵐,diqb,⿱石兆
𮵑,dybh,⿰石㐫
𮵒,ndf,⿱羽石
𮵓,dmdg,⿰石岩
𮵔,dqmd,⿰石奂
𮵕,dadt,⿰石茂
𮵖,dtky,⿰石禹
𮵗,dytb,⿰石施
𮵘,pywf,⿰礻仁
𮵙,pywx,⿰礻仑
𮵚,pycf,⿰礻圣
𮵛,pymj,⿰礻则
𮵜,pywh,⿰礻伟
𮵝,pyal,⿰礻苗
𮵞,pypf,⿰礻室
𮵟,pyur,⿰礻新
𮵠,tfnh,⿰禾韦
𮵡,tqkg,⿰禾名
𮵢,tegc,⿰禾县
𮵣,udwt,⿱䒑秦
𮵤,tadn,⿰禾甚
𮵥,udnn,⿰立尤
𮵦,utuy,⿰立冬
𮵧,udtf,⿰立寿
𮵨,ugah,⿰立武
𮵩,udqq,⿰立爽
𮵪,unrg,⿰立習
𮵫,tbj,⿱𥫗了
𮵬,tgf,⿱𥫗王
𮵭,tmqu,⿱𥫗风
𮵮,tqyg,⿱𥫗鸟
𮵯,tqbb,⿱𥫗夗
𮵰,tyth,⿱𥫗州
𮵱,tgou,⿱𥫗来
𮵲,tevf,⿱𥫗妥
𮵳,tpgy,⿳𥫗冖玉
𮵴,tsfc,⿱𥫗枝
𮵵,tdlf,⿱𥫗奋
𮵶,tpgy,⿱𥫗宝
𮵷,tivh,⿱𥫗津
𮵸,tjjj,⿱𥫗晶
𮵹,ttvc,⿱𥫗魏
𮵺,ynto,⿱𢼄米
𮵻,ouog,⿰米並
𮵼,oloy,⿰𫂺米
𮵽,oujh,⿰米章
𮵾,ahni,⿱⿰臣殳糸
𮵿,xcyy,⿰纟叉
𮶀,xgyy,⿰纟玉
𮶁,xmmg,⿰纟册
𮶂,xtdh,⿰纟夆
𮶃,xwhs,⿰纟條
𮶄,xtux,⿰纟乘
𮶅,xpwk,⿰纟容
𮶆,xqry,⿰纟⿱匆匆
𮶇,pwaj,⿳冖八廾
𮶈,vnd,⿺九羽
𮶉,nufh,⿰羽半
𮶊,nntr,⿱羽必
𮶋,njy,⿰羽虫
𮶌,tfqn,⿺先羽
𮶍,ukhn,⿰冲羽
𮶎,jyin,⿰景羽
𮶏,bqug,⿰耳匀
𮶐,bmg,⿰耳由
𮶑,bgyy,⿰耳玉
𮶒,bffg,⿰耳圭
𮶓,batq,⿰耳尧
𮶔,efnh,⿰月韦
𮶕,eqfh,⿰月⿱乂十
𮶖,thtu,⿱自夂
𮶗,tefh,⿰舟干
𮶘,tefc,⿰舟云
𮶙,tejl,⿰舟监
𮶚,teuj,⿰舟戠
𮶛,aab,⿱艹七
𮶜,adf,⿱艹三
𮶝,ayqu,⿱艹义
𮶞,anuu,⿱艹飞
𮶟,auff,⿱艹兰
𮶠,admh,⿱艹布
𮶡,akfj,⿱艹叶
𮶢,aysu,⿱艹床
𮶣,auwc,⿱艹冷
𮶤,aifc,⿱艹沄
𮶥,aiyn,⿱艹沪
𮶦,agtu,⿱艹玫
𮶧,awmh,⿱艹佩
𮶨,autu,⿱艹⿵门禾
𮶩,aqtd,⿱艹狱
𮶪,auqu,⿱艹⿰立匀
𮶫,aiju,⿱艹浊
𮶬,aqgr,⿱艹钱
𮶭,ayng,⿱艹⿺永生
𮶮,apuc,⿱艹被
𮶯,aghq,⿱艹現
𮶰,ajef,⿱艹𭎮
𮶱,aiyb,⿱艹淳
𮶲,anaj,⿱艹惜
𮶳,axwy,⿱艹维
𮶴,awyn,⿱艹𢛧
𮶵,aipg,⿱艹渲
𮶶,aiuo,⿱艹溓
𮶷,aiaw,⿱艹满
𮶸,agag,⿱艹瑾
𮶹,aiui,⿱艹澜
𮶺,hahd,⿸虍目
𮶻,nuji,⿹飞虫
𮶼,jfiy,⿰虫示
𮶽,jyni,⿰虫永
𮶾,jftb,⿰虫孝
𮶿,yemw,⿱衣内
𮷀,pugy,⿰衤玉
𮷁,pukm,⿰衤员
𮷂,pupf,⿰衤室
𮷃,punw,⿰衤翼
𮷄,epmq,⿳爫冖见
𮷅,yaiy,⿰讠东
𮷆,ylg,⿰讠田
𮷇,yqiy,⿰讠乐
𮷈,ydsk,⿰讠奇
𮷉,yjqr,⿰讠易
𮷊,ytol,⿰讠番
𮷋,gkul,⿰豆力
𮷌,mhh,⿰贝亅
𮷍,mpsh,⿰贝宁
𮷎,fckm,⿰云员
𮷏,kmqu,⿰员匀
𮷐,vtkm,⿰君员
𮷑,fokm,⿰赤员
𮷒,khid,⿰𧾷尖
𮷓,tmdy,⿰身为
𮷔,tmdi,⿰身未
𮷕,uftt,⿰半身
𮷖,lmn,⿰车几
𮷗,ldyy,⿰车太
𮷘,lrnn,⿰车气
𮷙,lqyg,⿰车鸟
𮷚,uflj,⿱壮车
𮷛,lllj,⿱车⿰车车
𮷜,luej,⿰车前
𮷝,levg,⿰车舀
𮷞,dpi,⿺辶㇯羊丷
𮷟,tpi,⿺辶禾
𮷠,cfpd,⿺辶圣
𮷡,qtdp,⿺辶犾
𮷢,qpd,⿺辶金
𮷣,afqp,⿺辶芫
𮷤,wdmp,⿺辶段
𮷥,gdmp,⿺辶顼
𮷦,cbdp,⿺辶预
𮷧,umwp,⿺辶商
𮷨,dlbh,⿰历阝
𮷩,ebh,⿰月阝
𮷪,wgib,⿰佥阝
𮷫,blbh,⿰孟阝
𮷬,jogb,⿰显阝
𮷭,tjbh,⿰香阝
𮷮,shjf,⿱相里
𮷯,qiqf,⿱尔金
𮷰,qksy,⿰金呆
𮷱,qpuv,⿰金初
𮷲,qwwh,⿰金⿱从龰
𮷳,utfq,⿱冼金
𮷴,qfln,⿰金𢛳
𮷵,qnn,⿰钅己
𮷶,qyqy,⿰钅义
𮷷,qdhh,⿰钅丰
𮷸,qfqn,⿰钅元
𮷹,qfcy,⿰钅云
𮷺,qty,⿰钅夂
𮷻,qmqy,⿰钅风
𮷼,qmyg,⿰钅丹
𮷽,qcbh,⿰钅予
𮷾,qann,⿰钅艺
𮷿,qfiy,⿰钅示
𮸀,qanw,⿰钅𫠣
𮸁,qwta,⿰钅仛
𮸂,qeh,⿰钅用
𮸃,qyni,⿰钅永
𮸄,qadt,⿰钅戎
𮸅,qahh,⿰钅臣
𮸆,qydy,⿰钅庆
𮸇,qifh,⿰钅𣲇
𮸈,qplh,⿰钅军
𮸉,qamy,⿰钅贡
𮸊,qtjh,⿰钅利
𮸋,qwty,⿰钅余
𮸌,qqdh,⿰钅希
𮸍,qyig,⿰钅应
𮸎,quny,⿰钅闷
𮸏,qcwt,⿰钅夋
𮸐,qayn,⿰钅芳
𮸑,qssy,⿰钅林
𮸒,qjta,⿰钅昇
𮸓,qvws,⿰钅⿱刅木
𮸔,qdwj,⿰钅春
𮸕,qgkl,⿰钅畐
𮸖,qjcl,⿰钅𪾋
𮸗,qjog,⿰钅显
𮸘,qypm,⿰钅亮
𮸙,qdwt,⿰钅秦
𮸚,qldn,⿰钅恩
𮸛,qmgu,⿰钅豈
𮸜,qpgu,⿰钅𧯜
𮸝,qapy,⿰钅莹
𮸞,qadf,⿰钅基
𮸟,qiph,⿰钅常
𮸠,qpaq,⿰钅宽
𮸡,qooo,⿰钅焱
𮸢,qmgm,⿰钅凱
𮸣,qfde,⿰钅震
𮸤,dgdy,⿰镸天
𮸥,ufkd,⿵门吉
𮸦,uukd,⿵门咅
𮸧,uube,⿵门朔
𮸨,bgeg,⿰阝青
𮸩,bjtg,⿰阝星
𮸪,bqtk,⿰阝猗
𮸫,fmyu,⿱雨凡
𮸬,fgyu,⿱雨玉
𮸭,gewf,⿰青华
𮸮,afmq,⿰革见
𮸯,wnnh,⿰𠂤韦
𮸰,gklh,⿰畐韦
𮸱,ujtn,⿰音乞
𮸲,ujdn,⿰音尤
𮸳,ujmc,⿰音殳
𮸴,dmmy,⿰页凡
𮸵,mtdm,⿰⿱山矢页
𮸶,judm,⿰昱页
𮸷,ujdm,⿰音页
𮸸,ynmm,⿰扁页
𮸹,ynwm,⿰雇页
𮸺,hidh,⿱频平
𮸻,mqjr,⿺风易
𮸼,oooq,⿰焱风
𮸽,nunu,⿱飞⿰飞飞
𮸾,wpyy,⿰飠文
𮸿,qney,⿰饣豕
𮹀,tjpw,⿰香宾
𮹁,cqug,⿰馬匀
𮹂,cnuy,⿰马飞
𮹃,cccy,⿰马双
𮹄,cgbn,⿰马屯
𮹅,cgsy,⿰马末
𮹆,cnah,⿰马异
𮹇,ctaf,⿰马𡉼
𮹈,cpdc,⿰马宏
𮹉,cgeg,⿰马青
𮹊,ceeg,⿰马朋
𮹋,cmfk,⿰马周
𮹌,cjlg,⿰马昷
𮹍,cthn,⿰马息
𮹎,cjlc,⿰马曼
𮹏,cfpu,⿰马壹
𮹐,cjjj,⿰马晶
𮹑,gkmk,⿰鬲同
𮹒,rqcd,⿺鬼大
𮹓,yqgf,⿱文鱼
𮹔,qyni,⿱㇯鸟一水
𮹕,waqg,⿱代鸟
𮹖,kegg,⿰咀鸟
𮹗,mwyg,⿰岺鸟
𮹘,oopg,⿳炏冖鸟
𮹙,mwyg,⿰崔鸟
𮹚,mqqg,⿰崟鸟
𮹛,ijyg,⿰澋鸟
𮹜,aukg,⿰燕鸟
𮹝,dxdx,⿱龙⿰龙龙
